time_bucket,diff_bucket,sample_size,up_win_rate,down_win_rate,up_intercept,up_slope_price,up_slope_time,down_intercept,down_slope_price,down_slope_time
0-3m,"(-160, -140]",6995,0.013581129378127233,0.9864188706218727,0.09346295035557693,0.0006990311610635064,0.0002889595596875369,0.906537049644423,-0.0006990311610635064,-0.0002889595596875369
0-3m,"(-180, -160]",6638,0.004067490207893944,0.995932509792106,0.0030222866842255225,3.464318976290867e-05,8.009720092678166e-05,0.9969777133157744,-3.464318976290867e-05,-8.009720092678166e-05
0-3m,"(160, 180]",6021,0.9993356585284836,0.0006643414715163942,0.9807343132752522,0.00011908351376953333,-1.7523309424978154e-05,0.01926568672474782,-0.00011908351376953333,1.7523309424978154e-05
0-3m,"(-200, -180]",5272,0.0015174506828528073,0.9984825493171472,0.007409779749246535,3.242342480999897e-05,2.7773271225541412e-06,0.9925902202507535,-3.242342480999897e-05,-2.7773271225541412e-06
0-3m,"(180, 200]",4655,0.9952738990332975,0.004726100966702451,0.8937882424790327,0.0006029869136241026,-0.00013509739993898616,0.10621175752096734,-0.0006029869136241026,0.00013509739993898616
0-3m,"(-220, -200]",4445,0.0020247469066366703,0.9979752530933633,-0.06873211386353459,-0.00033403504235895217,6.950465409047218e-06,1.0687321138635346,0.00033403504235895217,-6.950465409047218e-06
0-3m,"(200, 220]",3488,1.0,0.0,1.0000000000000093,-1.4631858617637548e-17,4.43802521619916e-18,-9.325873406851315e-15,1.4631858617637548e-17,-4.43802521619916e-18
0-3m,"(-240, -220]",3398,0.00264861683343143,0.9973513831665686,0.018922354049040396,7.723403392912795e-05,1.6304159894657585e-05,0.9810776459509596,-7.723403392912795e-05,-1.6304159894657585e-05
0-3m,"(220, 240]",2888,1.0,0.0,0.9999999999999988,3.2341328447005817e-18,-6.607346188539494e-19,1.2212453270876722e-15,-3.2341328447005817e-18,6.607346188539494e-19
0-3m,"(240, 260]",2872,1.0,0.0,1.000000000000009,-1.944225817431278e-17,-1.0087570126581381e-18,-9.103828801926284e-15,1.944225817431278e-17,1.0087570126581381e-18
0-3m,"(-260, -240]",2817,0.0039048633297834577,0.9960951366702165,0.05633978038033828,0.00022461466310830114,3.9387402728058646e-05,0.9436602196196617,-0.00022461466310830114,-3.9387402728058646e-05
0-3m,"(-280, -260]",2290,0.010043668122270743,0.9899563318777292,0.18288088876487177,0.0007076910107119391,0.00021153984225574766,0.8171191112351283,-0.0007076910107119391,-0.00021153984225574766
0-3m,"(-320, -300]",1967,0.0005083884087442806,0.9994916115912558,0.03119020762705952,0.00010107666306625379,7.150497250698432e-06,0.9688097923729405,-0.00010107666306625379,-7.150497250698432e-06
0-3m,"(280, 300]",1948,1.0,0.0,1.000000000000029,-6.26329280171536e-17,-4.5549281629854536e-18,-2.90878432451791e-14,6.26329280171536e-17,4.5549281629854536e-18
0-3m,"(260, 280]",1941,1.0,0.0,0.9999999999999976,-7.109320159849137e-18,1.812159265521388e-18,2.4424906541753444e-15,7.109320159849137e-18,-1.812159265521388e-18
0-3m,"(-340, -320]",1908,0.0031446540880503146,0.9968553459119497,-0.1338626147666466,-0.00039908017828951846,6.814468296531182e-05,1.1338626147666466,0.00039908017828951846,-6.814468296531182e-05
0-3m,"(-300, -280]",1886,0.0021208907741251328,0.9978791092258749,-0.02718293094550947,-9.165920807934638e-05,2.7609855563931245e-05,1.0271829309455094,9.165920807934638e-05,-2.7609855563931245e-05
0-3m,"(300, 320]",1879,1.0,0.0,1.0000000000000204,-4.278686197634711e-17,-1.789314693118379e-18,-2.042810365310288e-14,4.278686197634711e-17,1.789314693118379e-18
0-3m,"(320, 340]",1634,1.0,0.0,1.0000000000000024,-1.8482742708894583e-17,-9.469344358036297e-19,-2.4424906541753444e-15,1.8482742708894583e-17,9.469344358036297e-19
0-3m,"(360, 380]",1328,1.0,0.0,0.999999999999985,2.3605757031647305e-17,-2.7532856641243317e-18,1.4988010832439613e-14,-2.3605757031647305e-17,2.7532856641243317e-18
0-3m,"(-360, -340]",1280,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(340, 360]",1236,1.0,0.0,1.000000000000018,-3.0376247674883644e-17,-6.4417046710025936e-18,-1.7985612998927536e-14,3.0376247674883644e-17,6.4417046710025936e-18
0-3m,"(-380, -360]",1114,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(-420, -400]",1089,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(-400, -380]",1034,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(380, 400]",877,1.0,0.0,0.9999999999999883,1.460093718968659e-17,-1.5910596313990723e-18,1.1657341758564144e-14,-1.460093718968659e-17,1.5910596313990723e-18
0-3m,"(-440, -420]",779,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(-500, -480]",741,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(440, 460]",727,1.0,0.0,1.0000000000000246,-6.210240983850921e-17,-2.800338631196649e-18,-2.4646951146678475e-14,6.210240983850921e-17,2.800338631196649e-18
0-3m,"(420, 440]",707,1.0,0.0,1.0000000000000104,-2.7509048079884775e-17,2.024677946352865e-18,-1.0436096431476471e-14,2.7509048079884775e-17,-2.024677946352865e-18
0-3m,"(400, 420]",620,1.0,0.0,1.0000000000000082,-1.3715954271595927e-17,5.549502147978236e-18,-8.215650382226158e-15,1.3715954271595927e-17,-5.549502147978236e-18
0-3m,"(-480, -460]",605,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0-3m,"(-520, -500]",572,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
